Country,Happiness.Rank,Happiness.Score,Whisker.high,Whisker.low,Economy..GDP.per.Capita.,Family,Health..Life.Expectancy.,Freedom,Generosity,Trust..Government.Corruption.,Dystopia.Residual,lat,lon,captial
Norway,1,7.5370001793,7.5944448206,7.479555538,1.6164631844,1.5335235596,0.796666503,0.6354225874,0.3620122373,0.3159638345,2.2770266533,59.55,10.45,Oslo
Denmark,2,7.521999836,7.5817280649,7.4622716071,1.4823830128,1.5511215925,0.7925655246,0.6260067225,0.3552804887,0.4007700682,2.3137073517,55.41,12.34,Copenhagen
Iceland,3,7.5040001869,7.6220304731,7.3859699008,1.4806330204,1.610574007,0.8335521221,0.6271626353,0.4755402207,0.1535265595,2.3227152824,64.1,-21.57,Reykjavik
Switzerland,4,7.493999958,7.5617724204,7.4262274957,1.5649795532,1.5169117451,0.8581312895,0.6200705767,0.2905492783,0.3670072854,2.2767162323,46.57,7.28,Bern
Finland,5,7.4689998627,7.5275420758,7.4104576495,1.4435719252,1.5402467251,0.8091576695,0.6179508567,0.2454827726,0.3826115429,2.4301815033,60.15,25.03,Helsinki
Netherlands,6,7.376999855,7.4274258412,7.3265738688,1.5039446354,1.4289392233,0.810696125,0.5853844881,0.4704898298,0.2826618254,2.2948040962,52.23,4.54,Amsterdam / The Hague (seat of Government)
Canada,7,7.3159999847,7.3844028354,7.2475971341,1.4792044163,1.4813489914,0.8345576525,0.6111009121,0.4355397224,0.2873715162,2.1872644424,45.27,-75.42,Ottawa
New Zealand,8,7.3140001297,7.3795104419,7.2484898175,1.405706048,1.5481951237,0.8167597055,0.6140621305,0.500005126,0.3828167021,2.046456337,-41.19,174.46,Wellington
Sweden,9,7.2839999199,7.3440948774,7.2239049624,1.494387269,1.4781621695,0.8308751583,0.612924099,0.3853992522,0.3843987286,2.0975379944,59.2,18.03,Stockholm
Australia,10,7.2839999199,7.3566512249,7.2113486148,1.4844149351,1.5100419521,0.8438867927,0.6016073823,0.47769925,0.3011837304,2.0652108192,-35.15,149.08,Canberra
Israel,11,7.2129998207,7.2798532565,7.1461463849,1.3753824234,1.3762899637,0.8384039998,0.4059886038,0.330082655,0.0852421001,2.8017573357,31.71,-35.1,Jerusalem
Costa Rica,12,7.0789999962,7.1681116663,6.9898883261,1.1097062826,1.4164036512,0.7595092654,0.58013165,0.214613229,0.1001065895,2.8986392021,9.55,-84.02,San Jose
Austria,13,7.006000042,7.0706698121,6.9413302718,1.4870972633,1.4599449635,0.8153284192,0.5677661896,0.3164723217,0.2210603654,2.1385064125,#N/A,#N/A,#N/A
United States,14,6.9930000305,7.0746567476,6.9113433135,1.546259284,1.4199205637,0.7742866278,0.5057405233,0.3925787807,0.1356387883,2.2181134224,#N/A,#N/A,#N/A
Ireland,15,6.9770002365,7.0433516675,6.9106488055,1.5357066393,1.5582311153,0.8097826242,0.573110342,0.4278583229,0.2983881533,1.7738690376,53.21,-6.15,Dublin
Germany,16,6.9510002136,7.0053815693,6.896618858,1.4879233837,1.4725203514,0.7989507318,0.5625113845,0.33626917,0.2767319381,2.0157699585,52.3,13.25,Berlin
Belgium,17,6.890999794,6.9558207504,6.8261788376,1.4637807608,1.4623126984,0.8180918694,0.5397707224,0.2315033376,0.2513431311,2.1242103577,50.51,4.21,Brussels
Luxembourg,18,6.8629999161,6.9236860999,6.8023137323,1.7419435978,1.4575836658,0.8450894952,0.5966278911,0.2831809819,0.318834424,1.6195120811,49.37,6.09,Luxembourg
United Kingdom,19,6.7140002251,6.7837917611,6.644208689,1.4416339397,1.4964600801,0.8053359389,0.5081900358,0.4927741587,0.2654280663,1.7041435242,#N/A,#N/A,#N/A
Chile,20,6.6519999504,6.7392505601,6.5647493407,1.2527846098,1.2840249538,0.8194797039,0.3768952787,0.3266624212,0.0822879821,2.5095858574,-33.24,-70.4,Santiago
United Arab Emirates,21,6.6479997635,6.7220473038,6.5739522232,1.6263433695,1.2664102316,0.7267982364,0.6083452702,0.3609419465,0.3244895637,1.7347035408,24.28,54.22,Abu Dhabi
Brazil,22,6.6350002289,6.7254695016,6.5445309561,1.1073532104,1.4313060045,0.6165523529,0.4374537468,0.1623498946,0.1110927612,2.7692670822,-15.47,-47.55,Brasilia
Czech Republic,23,6.609000206,6.6838624626,6.5341379493,1.3526823521,1.4338852167,0.7544440031,0.4909461737,0.0881067589,0.0368729271,2.4518618584,50.05,14.22,Prague
Argentina,24,6.5989999771,6.6900850861,6.5079148681,1.1852954626,1.4404511452,0.6951370835,0.4945192039,0.1094570607,0.0597398877,2.6140053272,#N/A,#N/A,#N/A
Mexico,25,6.5780000687,6.6711489077,6.4848512296,1.1531838179,1.2108621597,0.7099789977,0.4127300084,0.1209904328,0.1327741146,2.8371548653,19.2,-99.1,Mexico
Singapore,26,6.5720000267,6.6367230691,6.5072769843,1.6922776699,1.3538143635,0.9494923949,0.5498405695,0.3459659815,0.464307785,1.2163619995,#N/A,#N/A,#N/A
Malta,27,6.5269999504,6.5983967729,6.4556031279,1.3432798386,1.488411665,0.8219442368,0.5887670517,0.5747305751,0.1530660689,1.5568628311,35.54,14.31,Valletta
Uruguay,28,6.4539999962,6.5459062177,6.3620937747,1.2175596952,1.412227869,0.7192168236,0.5793922544,0.1750969291,0.1780618727,2.1724095345,-34.5,-56.11,Montevideo
Guatemala,29,6.4539999962,6.5668739727,6.3411260197,0.872001946,1.2555851936,0.5402399898,0.5313106179,0.2834883928,0.0772232786,2.8938910961,14.4,-90.22,Guatemala
Panama,30,6.4520001411,6.5571307161,6.3468695661,1.233748436,1.3731925488,0.7061561346,0.550026834,0.2105569392,0.070983924,2.307199955,9,-79.25,Panama
France,31,6.4419999123,6.5157678024,6.3682320221,1.4309234619,1.3877768517,0.8444658518,0.4702221155,0.1297623068,0.1725024283,2.0059547424,48.5,2.2,Paris
Thailand,32,6.4239997864,6.5091168557,6.338882717,1.1278687716,1.4257924557,0.6472390294,0.5802007318,0.5721231103,0.0316127352,2.0395083427,13.45,100.35,Bangkok
Taiwan Province of China,33,6.4219999313,6.4945960219,6.3494038408,1.4336265326,1.3845653534,0.7939842343,0.3614665866,0.2583604753,0.0638292357,2.1266074181,#N/A,#N/A,#N/A
Spain,34,6.4029998779,6.4710548453,6.3349449106,1.3843978643,1.5320909023,0.8889605999,0.4087812304,0.1901335716,0.0709140971,1.92775774,40.25,-3.45,Madrid
