NAICS  Code,Kind of Business,January,February,March,April,May,June,July,August,September,October,November,December,TOTAL
,"Retail and food services sales, total",346252,346835,354564,357095,354267,353811,354457,356505,359326,363736,367330,369294,
,Retail sales and food services excl motor vehicle and parts ,289309,290967,293537,295295,292590,292385,291974,294034,296252,298839,301817,303991,
,"Retail sales, total",308751,308568,316150,318437,315608,314973,315424,317103,319901,324218,327620,329707,
,"Retail sales, total (excl. motor vehicle and parts dealers)",251808,252700,255123,256637,253931,253547,252941,254632,256827,259321,262107,264404,
,GAFO(1),91911,92646,92948,92910,92364,92346,92246,92629,92712,93095,94724,93820,
442,Furniture and home furnishings stores,7011,7131,7242,7128,7117,7064,7087,7130,7108,7039,7098,7068,
4451,Grocery stores,43028,43687,43304,43186,43266,42963,43011,43258,43601,43493,44077,44184,
44611,Pharmacies and drug stores,18128,18094,18264,18303,18295,18595,18560,18607,18665,18761,18913,18994,
4481,Clothing stores,12872,12863,13211,13199,13111,13041,13009,13126,13161,13277,13721,13494,
45291,Warehouse clubs and supercenters,30226,30816,30368,30573,30390,30350,30494,30666,30749,30865,31274,31278,
