NAICS  Code,Kind of Business,January,February,March,April,May,June,July,August,September,October,November,December,TOTAL,
,"Retail and food services sales, total","335,630","337,389","387,151","380,830","392,055","388,726","384,702","394,640","374,978","379,430","391,108","451,663","4,598,302",
,Retail sales and food services excl motor vehicle and parts,"277,744","274,756","311,896","311,208","322,700","318,475","315,488","323,308","308,073","313,580","327,257","380,879","3,785,364",
,"Retail sales, total","298,669","299,995","345,115","339,069","349,035","346,646","341,401","352,255","333,595","337,015","351,405","408,752","4,102,952",
,"Retail sales, total (excl. motor vehicle and parts dealers)","240,783","237,362","269,860","269,447","279,680","276,395","272,187","280,923","266,690","271,165","287,554","337,968","3,290,014",
,GAFO(1),"80,469","83,815","92,506","91,905","93,666","92,488","92,485","97,416","90,747","92,529","106,009","141,631","1,155,666",
442,Furniture and home furnishings stores,"6,244","6,488","7,530","6,896","7,086","7,039","7,241","7,685","7,450","6,967","7,931","9,029","87,586",
4451,Grocery stores,"44,282","41,229","45,068","45,586","46,318","45,883","47,171","46,448","44,877","45,725","46,046","48,843","547,476",
44611,Pharmacies and drug stores,"19,155","18,117","20,042","18,944","19,505","19,081","18,541","19,481","18,845","19,302","19,103","21,133","231,249",
4481,Clothing stores,"10,163","11,370","13,715","13,859","13,647","13,271","13,414","13,888","13,431","13,793","15,817","21,727","168,095",
45291,Warehouse clubs and supercenters,"28,851","28,956","31,017","31,432","32,353","31,560","32,369","32,240","30,322","32,069","34,024","41,150","386,343",
