NAICS  Code,Kind of Business,January,February,March,April,May,June,July,August,September,October,November,December,TOTAL,
,"Retail and food services sales, total","395,317","400,042","401,859","400,077","399,370","395,782","397,347","401,904","405,658","405,877","407,386","409,343",,
,Retail sales and food services excl motor vehicle and parts,"323,768","327,506","329,032","327,208","325,883","323,105","324,419","328,115","330,403","331,039","331,610","332,393",,
,"Retail sales, total","352,643","357,047","358,917","356,669","356,057","352,240","353,671","358,149","361,618","362,081","362,959","364,585",,
,"Retail sales, total (excl. motor vehicle and parts dealers)","281,094","284,511","286,090","283,800","282,570","279,563","280,743","284,360","286,363","287,243","287,183","287,635",,
,GAFO(1),"98,496","99,591","99,822","98,530","98,892","98,797","99,031","98,943","99,282","98,861","99,209","100,296",,
442,Furniture and home furnishings stores,"7,654","7,627","7,590","7,510","7,651","7,544","7,658","7,608","7,605","7,423","7,626","7,951",,
4451,Grocery stores,"46,248","46,353","46,753","46,927","46,828","46,842","46,956","47,013","47,130","47,449","47,263","47,098",,
44611,Pharmacies and drug stores,"19,343","19,366","19,325","19,320","19,239","18,821","19,054","19,092","18,906","18,993","18,985","19,104",,
4481,Clothing stores,"14,485","14,745","14,824","14,459","14,491","14,687","14,593","14,677","14,749","14,695","14,684","14,687",,
45291,Warehouse clubs and superstores,"33,311","33,637","33,508","33,589","33,640","33,683","33,702","33,922","33,967","34,140","34,094","34,160",,
