NAICS  Code,Kind of Business,January,February,March,April,May,June,July,August,September,October,November,December,TOTAL
,"Retail and food services sales, total",383396,380267,432879,431569,459028,433358,443331,451369,421367,438376,438675,502041,5215656
,Retail sales and food services excl motor vehicle and parts,313021,305328,342372,343585,365778,346648,352053,358750,338017,354051,359717,415485,4194805
,"Retail sales, total",340464,337377,383469,383861,407974,385463,394641,401283,374297,388241,391061,451309,4639440
,"Retail sales, total (excl. motor vehicle and parts dealers)",270089,262438,292962,295877,314724,298753,303363,308664,290947,303916,312103,364753,3618589
,GAFO(1),86162,89390,99188,96915,103721,97375,99190,107462,95491,101000,115490,147310,1238694
442,Furniture and home furnishings stores,7203,7227,8105,7791,8385,7881,8403,8735,8371,8440,8949,10228,99718
4451,Grocery stores,49165,45122,49034,48727,51777,49459,51374,51298,48826,50994,50945,52882,599603
44611,Pharmacies and drug stores,20634,19140,20488,20621,21069,20421,20910,20631,20699,21676,20211,24046,250546
4481,Clothing stores,11080,12097,14863,15011,15653,14049,14697,15923,13909,15247,17858,22738,183125
45291,Warehouse clubs and superstores,32183,32406,35552,34416,37221,35519,35580,37582,33449,35927,39236,44232,433303
