NAICS  Code,Kind of Business,January,February,March,April,May,June,July,August,September,October,November,December
,"Retail and food services sales, total",423111,420352,484550,467675,497070,483261,476896,491618,470402,4214935,4056949,
,Retail sales and food services excl motor vehicle and parts,338453,331342,378604,370500,391385,380443,374527,386592,370211,3322057,3199077,
,"Retail sales, total",370674,368259,425295,410138,438098,425838,419668,434421,414693,3707084,3563154,
,"Retail sales, total (excl. motor vehicle and parts dealers)",286016,279249,319349,312963,332413,323020,317299,329395,314502,2814206,2705282,
,GAFO(1),89431,91190,103122,100776,104945,102988,102546,108852,100322,904172,897508,
441,Motor vehicle and parts dealers,84658,89010,105946,97175,105685,102818,102369,105026,100191,892878,857872,
"4411,4412",Automobile and other motor vehicle dealers,77874,82318,97894,89790,97862,94991,94785,97112,92698,825324,789763,
4411,Automobile dealers,74094,77198,90583,81899,89307,86198,87294,90030,86601,763204,736130,
44111,New car dealers,65629,67655,79710,72753,79690,76540,77889,80534,77480,677880,654877,
44112,Used car dealers,8465,9543,10873,9146,9617,9658,9405,9496,9121,85324,81253,
4413,"Automotive parts, acc., and tire stores",6784,6692,8052,7385,7823,7827,7584,7914,7493,67554,68109,
442443,"Furniture, home furn, electronics, and appliance stores",15698,15414,17621,15762,17162,17197,16868,17910,17352,150984,149093,
442,Furniture and home furnishings stores,8348,8336,9797,8749,9616,9572,9434,10086,9690,83628,80545,
4421,Furniture stores,4471,4585,5292,4599,4987,4939,4953,5089,5047,43962,43598,
4422,Home furnishings stores,3877,3751,4505,4150,4629,4633,4481,4997,4643,39666,36947,
44221,Floor covering stores,1444,1509,(S),(S),(S),(S),(S),(S),(S),,,
442299,All other home furnishings stores,2285,2080,2437,2230,2526,2430,2443,2697,2416,21544,20874,
443,Electronics and appliance stores,7350,7078,7824,7013,7546,7625,7434,7824,7662,67356,68548,
44311,"Appl.,TV, and other elect. stores",5107,4951,5426,5088,5501,5495,5384,5624,5340,47916,50422,
443111,Household appliance stores,1173,1152,1329,1194,1279,1271,1222,1213,1200,11033,12266,
443112,"Radio, T.V., and other elect. stores",3934,3799,4097,3894,4222,4224,4162,4411,4140,36883,38156,
44312,Computer and software stores,(S),(S),(S),(S),(S),(S),(S),(S),(S),,,
444,Building mat. and garden equip. and supplies dealers,23873,24129,31454,33776,38588,36288,32643,32994,31542,285287,265470,
4441,Building mat. and supplies dealers,21466,21245,26868,27695,31814,30948,28493,29167,28105,245801,230661,
44412,Paint and wallpaper stores,772,802,1016,974,1129,1166,1093,1176,1068,9196,8573,
44413,Hardware stores,1722,1647,2073,2168,2408,2369,2182,2246,2163,18978,17507,
445,Food and beverage stores,57266,53865,59485,58782,61237,59636,60664,60423,59299,530657,519532,
4451,Grocery stores,51925,48490,53481,52677,54666,53107,54027,53902,53011,475286,466171,
44511,Supermarkets and other grocery (except convenience) stores,49813,46407,51112,50204,52066,50577,51440,51356,50473,453448,446121,
4453,"Beer, wine, and liquor stores",3672,3703,4184,4188,4578,4606,4726,4577,4445,38679,37693,
446,Health and personal care stores,26564,25565,28479,26795,28284,27551,26678,28102,27075,245093,245183,
44611,Pharmacies and drug stores,22254,21126,23232,22249,23568,22691,21986,22967,22177,202250,203911,
447,Gasoline stations,34246,32597,37253,37607,39383,38648,38441,39862,39994,338031,311766,
448,Clothing and clothing access. stores,15700,17856,21066,20970,21750,20427,20645,22720,19870,181004,179977,
4481,Clothing stores,11507,12342,15387,15355,15567,15003,15017,16092,14523,130793,130746,
44811,Men's clothing stores,593,617,765,804,846,783,677,711,755,6551,6143,
44812,Women's clothing stores,2405,2684,3364,3533,3478,3211,3063,3177,3041,27956,28927,
44814,Family clothing stores,5841,6343,8119,8187,8367,8141,8457,8860,7859,70174,69772,
44819,Other clothing stores,1261,1203,1308,1133,1214,1224,1133,1291,1120,10887,11449,
